PLAYER_ID,PLAYER,DEFENDER_ID,DEFENDER,MADE,TOTAL,FEAR_SORE
200746,lamarcus aldridge,201574,"Thompson, Jason",7.0,21.0,0.3333333333333333
203081,damian lillard,101108,"Paul, Chris",7.0,20.0,0.35
203952,andrew wiggins,201167,"Afflalo, Arron",12.0,23.0,0.5217391304347826
2590,mo williams,202738,"Thomas, Isaiah",10.0,20.0,0.5
201152,thaddeus young,200746,"Aldridge, LaMarcus",6.0,20.0,0.3
201572,brook lopez,101106,"Bogut, Andrew",6.0,16.0,0.375
708,kevin garnett,2403,Nene,5.0,16.0,0.3125
101114,deron williams,201565,"Rose, Derrick",2.0,16.0,0.125
2207,joe johnson,201145,"Green, Jeff",9.0,28.0,0.32142857142857145
101127,jarrett jack,201943,"Jennings, Brandon",4.0,16.0,0.25
